acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,92221.09,1,bank_a,,,,,,US,,,,,,
1,C_1,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87897.72,1,bank_a,,,,,,US,,,,,,
2,C_2,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71028.58,1,bank_a,,,,,,US,,,,,,
3,C_3,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62945.84,1,bank_a,,,,,,US,,,,,,
4,C_4,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75563.74,1,bank_a,,,,,,US,,,,,,
5,C_5,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,70246.71,1,bank_a,,,,,,US,,,,,,
6,C_6,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,89189.93,1,bank_a,,,,,,US,,,,,,
7,C_7,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65165.64,1,bank_a,,,,,,US,,,,,,
8,C_8,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,73829.85,1,bank_a,,,,,,US,,,,,,
9,C_9,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79169.10,1,bank_a,,,,,,US,,,,,,
10,C_10,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95405.64,1,bank_a,,,,,,US,,,,,,
11,C_11,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75234.34,1,bank_a,,,,,,US,,,,,,
12,C_12,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,64091.89,1,bank_a,,,,,,US,,,,,,
13,C_13,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87790.21,1,bank_a,,,,,,US,,,,,,
14,C_14,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80918.45,1,bank_a,,,,,,US,,,,,,
15,C_15,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62525.32,1,bank_a,,,,,,US,,,,,,
16,C_16,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95487.31,1,bank_a,,,,,,US,,,,,,
17,C_17,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,99139.27,1,bank_a,,,,,,US,,,,,,
18,C_18,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90510.86,1,bank_a,,,,,,US,,,,,,
19,C_19,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95108.30,1,bank_a,,,,,,US,,,,,,
20,C_20,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65507.38,1,bank_a,,,,,,US,,,,,,
21,C_21,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,86491.59,1,bank_a,,,,,,US,,,,,,
22,C_22,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,94941.91,1,bank_a,,,,,,US,,,,,,
23,C_23,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,84199.20,1,bank_a,,,,,,US,,,,,,
24,C_24,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,73607.14,1,bank_a,,,,,,US,,,,,,
25,C_25,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,55035.06,1,bank_a,,,,,,US,,,,,,
26,C_26,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71708.59,1,bank_a,,,,,,US,,,,,,
27,C_27,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80544.35,1,bank_a,,,,,,US,,,,,,
28,C_28,SAV,A,USD,true,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95650.55,1,bank_a,,,,,,US,,,,,,
29,C_29,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,98330.32,1,bank_a,,,,,,US,,,,,,
30,C_30,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,73850.49,1,bank_a,,,,,,US,,,,,,
31,C_31,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,93265.50,1,bank_a,,,,,,US,,,,,,
32,C_32,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,63024.62,1,bank_a,,,,,,US,,,,,,
33,C_33,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90251.39,1,bank_a,,,,,,US,,,,,,
34,C_34,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,77434.97,1,bank_a,,,,,,US,,,,,,
35,C_35,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,50702.09,1,bank_a,,,,,,US,,,,,,
36,C_36,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,85985.23,1,bank_a,,,,,,US,,,,,,
37,C_37,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,69941.18,1,bank_a,,,,,,US,,,,,,
38,C_38,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,91242.25,1,bank_a,,,,,,US,,,,,,
39,C_39,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,83407.66,1,bank_a,,,,,,US,,,,,,
40,C_40,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,50057.14,1,bank_a,,,,,,US,,,,,,
41,C_41,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,74678.89,1,bank_a,,,,,,US,,,,,,
42,C_42,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,93380.14,1,bank_a,,,,,,US,,,,,,
43,C_43,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62195.54,1,bank_a,,,,,,US,,,,,,
44,C_44,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,66260.22,1,bank_a,,,,,,US,,,,,,
45,C_45,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,93523.56,1,bank_a,,,,,,US,,,,,,
46,C_46,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,59553.35,1,bank_a,,,,,,US,,,,,,
47,C_47,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,78375.54,1,bank_a,,,,,,US,,,,,,
48,C_48,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,61930.80,1,bank_a,,,,,,US,,,,,,
49,C_49,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,98377.01,1,bank_a,,,,,,US,,,,,,
50,C_50,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90158.97,1,bank_a,,,,,,US,,,,,,
51,C_51,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,72398.48,1,bank_a,,,,,,US,,,,,,
52,C_52,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,54022.29,1,bank_a,,,,,,US,,,,,,
53,C_53,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,66002.73,1,bank_a,,,,,,US,,,,,,
54,C_54,SAV,A,USD,true,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75397.03,1,bank_a,,,,,,US,,,,,,
55,C_55,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96641.69,1,bank_a,,,,,,US,,,,,,
56,C_56,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,55452.89,1,bank_a,,,,,,US,,,,,,
57,C_57,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,77563.36,1,bank_a,,,,,,US,,,,,,
58,C_58,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,85328.07,1,bank_a,,,,,,US,,,,,,
59,C_59,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,77372.05,1,bank_a,,,,,,US,,,,,,
60,C_60,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90723.34,1,bank_a,,,,,,US,,,,,,
61,C_61,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,77014.18,1,bank_a,,,,,,US,,,,,,
62,C_62,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,98191.93,1,bank_a,,,,,,US,,,,,,
63,C_63,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80159.28,1,bank_a,,,,,,US,,,,,,
64,C_64,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79380.85,1,bank_a,,,,,,US,,,,,,
65,C_65,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,72249.45,1,bank_a,,,,,,US,,,,,,
66,C_66,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79814.34,1,bank_a,,,,,,US,,,,,,
67,C_67,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,69245.06,1,bank_a,,,,,,US,,,,,,
68,C_68,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,78782.55,1,bank_a,,,,,,US,,,,,,
69,C_69,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,64516.48,1,bank_a,,,,,,US,,,,,,
